F9,F7,F3,Fz,F4,F8,F10,FC5,FC1,FC2,FC6,T9,T7,C3,C4,T8,T10,CP5,CP1,CP2,CP6,P9,P7,P3,Pz,P4,P8,P10
0.1285,-1.396,1.0784,0.3085,-1.1709,-2.7578,-2.3823,-2.7299,-5.1734,-4.9329,-4.224,-4.4743,-5.6455,0.7031,3.3613,-0.0503,-4.5941,-3.288,-0.1126,-3.3731,-4.6388,-4.0319,-1.8685,1.9238,4.4792,3.2853,3.7654,2.4107
1.0266,0.6415,4.3938,1.7337,-0.6966,-1.1645,0.6853,1.7274,-1.7456,-2.4371,-1.1848,-1.1178,-0.9356,5.1106,5.6911,3.9126,-1.4491,1.0253,3.1244,-0.3589,-2.6546,-2.8106,-0.8725,4.2044,7.4383,4.1867,1.9497,3.1789
0.5344,-1.1262,3.5068,0.7353,-0.3283,-0.8735,0.7099,2.6478,-0.9873,-0.8873,1.406,0.7009,0.6463,8.5092,9.2999,7.314,1.4941,3.5758,5.2155,2.3693,-0.2798,-1.4488,1.1486,6.4738,9.2951,5.9951,1.7013,4.2935
3.5273,3.1249,8.8206,5.4645,1.1431,2.6772,6.5938,7.3612,3.5961,1.3817,3.3637,4.1419,4.5452,11.6795,13.5348,10.0549,3.6648,6.1203,9.6426,5.2869,1.4052,-1.4501,3.7122,12.2054,14.977,10.5623,2.2977,7.0671
6.7727,8.9257,13.3187,10.4999,2.7201,7.6314,13.9722,12.8924,11.2817,4.7777,5.0903,9.1875,11.0055,12.2074,13.282,10.0626,5.2591,7.7385,11.5631,7.0589,2.7872,-1.434,4.8548,13.7861,15.1789,11.0974,1.7054,7.4689
6.7022,8.8855,10.4866,10.1046,2.2851,8.1731,14.1615,11.5125,13.0494,3.813,2.5039,9.3182,11.4055,8.2853,8.77,5.6518,1.9931,3.8267,6.9673,3.4414,0.103,-3.6112,2.097,8.0307,7.9099,6.7129,2.618,5.14
6.533,7.918,8.791,9.4037,1.035,7.745,14.2941,11.4496,14.5823,1.5956,-0.3552,9.7601,12.6385,8.6462,7.668,4.3829,-1.9099,0.9517,3.4232,-0.556,-4.4033,-7.7395,-2.0252,2.9022,3.0394,3.1844,4.3824,4.0446
7.4755,8.1175,8.5969,10.242,1.43,10.5104,18.3513,15.4337,20.9223,3.8224,1.6956,15.1227,19.0804,13.0783,10.7459,7.3841,-0.2691,2.7663,4.1652,0.7692,-3.9659,-8.9739,-1.9995,2.3871,1.288,2.7323,4.9209,4.5831
8.066,8.8843,7.8101,11.1146,2.4158,12.2157,19.6799,15.2418,22.5755,5.3681,2.4718,16.1672,19.6061,10.9293,9.8843,5.8553,0.8047,2.2745,4.1004,1.752,-2.1348,-7.7675,-0.1884,3.0213,0.0502,3.2174,4.9723,4.4318
7.994,10.1581,8.6437,11.4593,2.0806,10.9266,18.0068,13.0892,19.451,3.6613,0.1555,12.7759,15.9704,6.7375,5.9944,2.3771,-1.5144,0.1181,2.575,-0.3333,-3.5495,-7.7853,-1.3511,1.8589,-0.3376,2.1771,4.5954,3.3792
